iter	Passed	Remaining
0	143	143183
1	144	71998
2	145	48256
3	146	36399
4	147	29329
5	148	24590
6	149	21188
7	150	18645
8	151	16673
9	152	15106
10	153	13814
11	154	12738
12	155	11817
13	156	11024
14	157	10332
15	158	9744
16	159	9214
17	160	8743
18	161	8319
19	162	7943
20	163	7603
21	164	7295
22	165	7011
23	166	6753
24	166	6511
25	167	6286
26	168	6077
27	169	5886
28	170	5715
29	171	5547
30	172	5389
31	173	5241
32	174	5102
33	174	4971
34	176	4853
35	177	4741
36	177	4632
37	178	4528
38	179	4429
39	180	4334
40	181	4245
41	182	4162
42	183	4081
43	184	4002
44	185	3927
45	185	3855
46	186	3785
47	187	3719
48	188	3660
49	189	3601
50	190	3543
51	191	3486
52	192	3432
53	192	3379
54	193	3329
55	194	3283
56	195	3237
57	196	3193
58	197	3149
59	198	3107
60	199	3065
61	200	3027
62	201	2991
63	202	2955
64	203	2920
65	203	2886
66	204	2851
67	205	2821
68	206	2790
69	207	2759
70	208	2729
71	209	2699
72	210	2670
73	211	2642
74	212	2617
75	213	2592
76	214	2566
77	214	2540
78	215	2515
79	217	2495
80	218	2473
81	219	2452
82	219	2427
83	220	2407
84	221	2389
85	222	2369
86	223	2350
87	224	2331
88	225	2312
89	226	2293
90	228	2277
91	229	2260
92	230	2244
93	231	2228
94	232	2211
95	233	2195
96	234	2179
97	234	2162
98	235	2146
99	236	2131
100	237	2116
101	238	2101
102	239	2087
103	240	2074
104	241	2062
105	243	2050
106	244	2037
107	245	2023
108	245	2010
109	246	1996
110	247	1984
111	248	1972
112	249	1960
113	250	1949
114	251	1937
115	252	1925
116	253	1914
117	254	1904
118	255	1894
119	256	1883
120	257	1872
121	258	1860
122	259	1849
123	260	1838
124	261	1827
125	262	1818
126	262	1807
127	263	1797
128	264	1787
129	265	1777
130	266	1767
131	267	1758
132	268	1749
133	269	1741
134	270	1732
135	271	1724
136	272	1715
137	273	1706
138	274	1698
139	275	1691
140	276	1685
141	277	1675
142	278	1667
143	279	1658
144	279	1650
145	280	1643
146	281	1636
147	282	1628
148	283	1621
149	284	1614
150	285	1606
151	286	1601
152	287	1593
153	288	1587
154	289	1579
155	290	1572
156	291	1564
157	292	1557
158	293	1550
159	294	1544
160	294	1536
161	295	1529
162	296	1522
163	297	1515
164	298	1510
165	299	1504
166	300	1498
167	301	1492
168	302	1486
169	303	1480
170	304	1474
171	305	1469
172	306	1463
173	307	1458
174	308	1452
175	309	1447
176	309	1441
177	311	1436
178	312	1431
179	313	1426
180	314	1420
181	314	1415
182	315	1410
183	316	1404
184	317	1400
185	318	1395
186	319	1390
187	320	1386
188	321	1381
189	322	1376
190	323	1371
191	324	1367
192	325	1362
193	326	1358
194	327	1353
195	328	1348
196	329	1344
197	330	1340
198	331	1335
199	332	1331
200	333	1327
201	334	1323
202	335	1318
203	336	1313
204	337	1309
205	338	1305
206	339	1301
207	340	1296
208	341	1291
209	342	1287
210	343	1283
211	344	1279
212	345	1276
213	346	1272
214	347	1267
215	348	1263
216	349	1260
217	350	1256
218	351	1252
219	352	1248
220	352	1244
221	353	1239
222	354	1236
223	355	1232
224	356	1228
225	357	1224
226	358	1220
227	359	1216
228	360	1212
229	361	1209
230	362	1205
231	363	1201
232	363	1197
233	364	1193
234	365	1189
235	366	1185
236	367	1182
237	368	1178
238	369	1174
239	369	1171
240	370	1167
241	371	1163
242	372	1159
243	373	1156
244	374	1153
245	375	1149
246	376	1146
247	376	1143
248	377	1139
249	378	1136
250	379	1133
251	380	1129
252	381	1126
253	382	1123
254	383	1119
255	384	1116
256	386	1118
257	387	1115
258	388	1112
259	389	1109
260	390	1106
261	391	1103
262	392	1100
263	393	1097
264	394	1094
265	395	1090
266	396	1087
267	397	1084
268	398	1081
269	399	1078
270	399	1075
271	400	1072
272	401	1069
273	402	1066
274	403	1063
275	404	1060
276	405	1057
277	406	1054
278	407	1052
279	408	1049
280	409	1046
281	410	1043
282	410	1041
283	411	1038
284	412	1035
285	413	1032
286	414	1029
287	415	1027
288	416	1025
289	417	1022
290	418	1020
291	419	1017
292	420	1015
293	421	1012
294	422	1010
295	423	1007
296	424	1005
297	425	1003
298	426	1000
299	427	998
300	428	996
301	430	993
302	431	991
303	431	988
304	432	986
305	433	983
306	434	981
307	435	979
308	436	976
309	437	974
310	438	972
311	439	969
312	440	967
313	441	964
314	442	962
315	443	959
316	444	957
317	445	954
318	446	952
319	447	950
320	447	947
321	448	945
322	449	942
323	450	940
324	451	938
325	452	935
326	453	933
327	454	931
328	455	928
329	456	926
330	457	923
331	457	921
332	458	918
333	459	916
334	460	914
335	461	912
336	462	910
337	463	907
338	464	905
339	465	903
340	466	900
341	467	898
342	468	896
343	468	894
344	469	892
345	470	889
346	471	887
347	472	885
348	473	883
349	474	881
350	475	878
351	476	876
352	477	874
353	477	872
354	479	870
355	479	868
356	480	866
357	481	864
358	482	862
359	483	859
360	484	857
361	485	856
362	486	854
363	487	852
364	488	849
365	489	847
366	490	845
367	491	843
368	492	841
369	493	840
